a,c,g,j,k,Y
172.23,32.489000000000004,218.27,10.865,163.96,19.055
171.58,32.489000000000004,223.96,10.974,164.09,19.015
171.08,39.503,228.57,10.949000000000002,163.62,19.098
169.97,39.503,235.37,10.967,165.09,19.291
170.59,40.998000000000005,241.74,11.037,162.01,19.250999999999998
171.45,37.334,239.16,10.995999999999999,163.79,19.124000000000002
171.3,37.334,237.43,11.054,163.54,18.965
171.05,37.074,242.09,11.099,163.42,19.05
169.51,38.465,241.88,11.088,163.01,19.077
170.17,35.973,250.13,11.12,163.04,19.034000000000002
169.35,39.896,252.48,11.058,162.98,19.122
169.69,37.809,253.34,11.050999999999998,162.49,19.250999999999998
168.13,28.336,209.52,10.912,161.93,18.47
170.52,28.01,201.67,10.932,163.79,18.387999999999998
168.82,29.36,197.3,10.934000000000001,163.45,18.762
168.39,34.37,216.01,10.934000000000001,163.38,19.525
168.71,33.147,219.24,10.935,163.38,18.604
168.77,32.124,226.67,10.950999999999999,163.72,18.979
168.82,41.175,235.13,10.998,163.32,19.125
167.52,34.942,235.13,10.975,160.19,18.537
167.04,38.975,235.26,10.955,158.23,18.562
134.83,26.978,145.37,9.6654,128.0,16.704
134.61,30.921999999999997,188.46,9.5836,127.13,17.066
163.97,35.064,221.77,11.03,156.33,18.469
167.96,28.811999999999998,209.44,11.034,161.66,18.808
167.59,42.398999999999994,230.4,11.034,161.96,18.939
166.37,35.852,232.51,11.118,161.34,18.862000000000002
166.85,37.529,228.12,11.118,159.66,18.67
168.95,34.523,225.73,11.114,159.09,18.41
167.31,34.523,225.36,11.165,159.05,18.742
165.99,35.085,225.36,11.052999999999999,159.67,18.617
164.72,37.749,225.81,11.115,160.38,18.457
167.02,36.201,225.81,11.11,160.38,18.055
167.02,33.763000000000005,232.96,11.11,160.7,18.773
166.54,31.749000000000002,221.81,11.192,158.12,18.336
168.27,36.594,218.93,10.972999999999999,158.12,18.066
168.26,35.205,223.37,11.03,158.35,18.45
166.02,34.469,220.15,11.0,159.87,18.331
166.23,33.586,237.99,10.963,161.7,19.396
168.7,33.568000000000005,226.0,11.027000000000001,162.73,19.065
168.7,41.61600000000001,234.8,10.974,161.96,19.552
167.72,40.68,252.16,11.004000000000001,161.61,19.142
167.63,40.68,255.0,11.01,160.17,19.109
166.39,40.353,254.38,10.985,160.65,18.723
167.22,42.263000000000005,259.96,11.102,159.98,19.266
167.3,45.184,261.19,11.019,158.54,19.177
157.66,32.422,219.63,10.544,147.26,17.500999999999998
154.76,28.644000000000002,211.81,10.370999999999999,144.14,17.107
154.53,35.77,226.21,10.347000000000001,144.64,17.312
155.16,33.650999999999996,225.59,10.357000000000001,145.35,17.567
154.67,39.403,221.94,10.331,145.33,17.567
153.73,35.009,228.21,10.389000000000001,146.56,17.599
153.65,35.009,220.43,10.359000000000002,147.21,17.826
155.27,35.431,223.65,10.359000000000002,148.14,17.785999999999998
155.82,34.143,219.01,10.359000000000002,146.78,17.498
156.91,33.964,218.28,10.355,147.27,17.27
156.48,33.964,227.39,10.363,147.47,17.320999999999998
157.0,33.510999999999996,225.68,10.364,148.57,17.81
156.37,37.903,233.57,10.364,149.41,17.81
155.74,35.085,234.31,10.364,147.69,17.726
155.19,41.287,233.79,10.367,146.58,17.398
154.73,33.903,233.79,10.378,145.13,17.476
154.41,37.153,233.55,10.350999999999999,144.96,17.476
154.62,43.125,232.8,10.401,143.29,17.506
153.1,40.423,235.36,10.253,143.44,17.506
153.82,32.695,231.49,10.300999999999998,143.37,17.504
154.63,42.3,237.16,10.333,141.93,17.727
154.64,38.888000000000005,238.5,10.360999999999999,141.88,17.651
155.28,37.818000000000005,237.6,10.360999999999999,140.96,17.521
154.8,35.757,240.96,10.363,141.32,17.884
155.59,39.144,240.36,10.368,141.57,17.63
156.59,33.424,242.47,10.347000000000001,144.93,18.128
155.41,29.355,242.04,10.352,146.44,17.917
154.15,37.662,242.04,10.360999999999999,143.42,17.69
154.39,35.342,242.59,10.318,142.87,17.745
154.6,39.504,244.27,10.331,141.88,17.745
155.62,39.504,242.18,10.415,143.35,17.655
154.99,39.334,239.83,10.349,145.51,17.849
154.65,32.205,234.63,10.378,145.2,17.855
155.67,33.61,233.26,10.318,143.31,17.736
156.24,26.97,195.78,10.308,141.65,16.604
156.32,27.496,198.68,10.308,143.8,17.29
156.46,30.545,207.8,10.366,143.37,17.71
156.68,37.802,218.03,10.367,143.9,17.86
159.73,35.614000000000004,220.03,10.343,147.93,17.86
159.4,29.366999999999997,216.76,10.404000000000002,147.95,17.623
158.7,31.274,212.89,10.315999999999999,148.19,17.599
158.77,32.75,212.88,10.337,148.76,17.587
162.22,39.205999999999996,229.48,10.388,149.95,18.317999999999998
162.44,30.250999999999998,220.44,10.11,148.41,18.369
182.51,37.869,244.71,11.16,166.27,19.065
181.25,34.479,233.08,11.100999999999999,166.4,18.586
180.34,32.123000000000005,224.77,11.175,166.4,18.581
180.48,35.535,240.31,11.39,169.32,18.581
182.46,35.914,230.16,11.512,170.72,18.281
186.56,37.597,246.57,11.554,173.96,18.874000000000002
183.56,41.13399999999999,249.83,11.581,174.18,18.968
180.59,38.594,249.29,11.618,175.28,18.671
184.93,39.821999999999996,249.29,11.603,176.15,19.122
190.03,38.336999999999996,249.28,11.610999999999999,171.16,18.488
190.04,41.226000000000006,243.69,11.540999999999999,170.6,18.488
184.65,39.556,244.31,11.495,173.1,18.477999999999998
180.37,39.512,241.4,11.564,172.49,18.604
177.53,34.771,239.57,11.469000000000001,170.36,18.215
179.06,39.512,237.27,11.532,169.01,18.313
181.63,40.043,248.66,11.557,168.39,18.864
181.76,39.264,242.21,11.503,166.94,18.575
183.71,38.977,239.52,11.474,166.91,18.528
185.45,38.803000000000004,243.26,11.513,166.3,18.53
182.37,38.353,243.26,11.460999999999999,169.12,18.885
178.56,36.123000000000005,247.69,11.472999999999999,168.07,18.885
186.72,40.009,248.37,11.505,166.43,18.897000000000002
183.17,37.3,244.62,11.368,165.84,18.660999999999998
181.61,38.37,243.73,11.421,166.07,18.31
184.74,38.224000000000004,238.16,11.39,164.84,18.573
189.29,39.330999999999996,247.24,11.388,163.81,19.011
189.99,36.654,250.05,11.433,163.87,18.887999999999998
189.91,37.616,249.58,11.425,163.87,18.894000000000002
186.45,48.74,246.87,11.415999999999999,165.68,18.785
186.38,36.411,239.94,11.41,165.97,18.593
184.92,35.319,241.76,11.41,165.88,18.54
184.68,35.9,244.94,11.418,168.23,18.692
183.3,37.808,249.44,11.387,166.71,18.803
183.47,39.391,248.98,11.289000000000001,165.96,18.785999999999998
181.9,39.446999999999996,245.53,11.324000000000002,167.5,18.655
181.69,40.955,250.03,11.324000000000002,168.31,18.867
181.69,40.672,246.56,11.317,170.01,18.849
181.95,36.795,244.47,11.385,169.05,18.594
184.94,38.193000000000005,248.98,11.383,169.05,18.98
182.91,38.823,245.69,11.392000000000001,169.45,18.855999999999998
185.88,36.51,242.94,11.43,171.21,18.429000000000002
188.65,37.225,253.12,11.589,171.51,19.102
190.17,41.825,257.23,11.542,171.49,19.102
189.14,38.097,251.85,11.512,169.54,19.102
190.39,42.636,264.29,11.554,169.01,19.21
187.15,45.428000000000004,259.97,11.538,171.15,18.985
185.72,50.035,269.19,11.470999999999998,170.6,19.438
183.04,39.022,261.69,11.474,171.02,19.233
186.99,47.75,264.35,11.427999999999999,168.94,19.233
183.71,54.865,270.35,11.409,168.7,19.389
184.32,47.383,266.49,11.365,166.44,19.399
184.97,42.935,259.79,11.347999999999999,165.69,18.868
184.09,40.855,258.08,11.161,165.69,19.070999999999998
184.09,41.203,256.8,11.284,165.7,18.962
183.63,44.778999999999996,258.68,11.34,165.07,19.296
183.63,44.778999999999996,254.17,11.296,166.24,19.055
183.63,45.044,262.76,11.267000000000001,166.97,19.245
183.63,40.605,264.2,11.327,166.62,19.182000000000002
179.76,36.049,257.24,11.225,165.67,18.945999999999998
179.87,37.748000000000005,261.05,11.181,165.61,19.285
181.7,37.859,261.46,11.209000000000001,165.79,19.145
180.31,39.743,254.93,11.215,165.82,19.118
180.6,37.429,257.02,11.207,164.99,19.118
180.01,37.062,250.62,11.231,166.44,18.452
183.29,49.298,250.58,11.231,165.49,18.904
183.94,41.143,250.58,11.234000000000002,166.84,18.885
183.91,36.455,250.58,11.243,165.86,18.642
181.96,37.825,250.82,11.213,165.57,19.035
188.13,37.798,253.7,11.19,164.55,19.011
186.58,37.836999999999996,254.08,11.276,166.03,19.011
185.56,36.376,252.25,11.159,162.82,19.021
189.69,40.135999999999996,260.58,11.217,164.41,19.13
